4,5,0,5
5,9,1,9
1,1,0,1
1,1,0,1
5,5,0,5
3,3,0,3
7,16,1,16
6,6,0,6
1,1,0,1
6,7,0,7
5,6,0,6
2,2,0,2
3,3,0,3
5,6,0,6
1,1,0,1
3,3,0,3
6,13,1,13
1,1,0,1
6,7,0,7
1,1,0,1
2,2,0,2
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
3,4,0,4
2,2,0,2
5,6,0,6
3,3,0,3
3,3,0,3
1,1,0,1
13,18,1,18
8,17,1,17
1,1,0,1
4,6,0,6
1,1,0,1
6,7,0,7
8,8,0,8
1,1,0,1
3,3,0,3
1,1,0,1
2,2,0,2
7,7,0,7
1,1,0,1
3,5,0,5
1,1,0,1
4,4,0,4
1,1,0,1
2,2,0,2
2,2,0,2
2,3,0,3
1,1,0,1
1,1,0,1
2,2,0,2
1,1,0,1
2,2,0,2
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
2,3,0,3
4,5,0,5
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
4,4,0,4
1,1,0,1
1,1,0,1
2,2,0,2
1,1,0,1
1,1,0,1
1,1,0,1
6,7,0,7
3,4,0,4
1,1,0,1
2,2,0,2
4,5,0,5
3,7,0,7
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
5,5,0,5
1,1,0,1
1,1,0,1
3,3,0,3
3,4,0,4
7,10,1,10
5,11,1,11
1,1,0,1
1,2,0,2
1,1,0,1
2,3,0,4
6,6,0,6
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
5,6,0,6
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
2,2,0,2
2,9,1,9
2,2,0,2
3,3,0,3
2,2,0,2
1,1,0,1
1,1,0,1
5,8,0,8
3,3,0,3
2,2,0,2
3,5,0,5
2,2,0,2
1,1,0,1
2,2,0,2
1,1,0,1
3,3,0,3
3,3,0,3
1,1,0,1
2,4,0,4
5,6,0,6
1,1,0,1
1,1,0,1
2,4,0,4
1,1,0,1
1,1,0,1
4,4,0,4
2,2,0,2
5,5,0,5
1,1,0,1
1,3,0,3
2,3,0,3
1,1,0,1
8,11,1,11
5,7,0,7
1,1,0,1
1,2,0,2
2,2,0,2
1,1,0,1
1,1,0,1
4,4,0,4
2,2,0,2
1,1,0,1
3,3,0,3
9,13,1,13
4,4,0,4
1,1,0,1
2,2,0,2
1,1,0,1
5,5,0,5
5,7,0,7
1,1,0,1
1,1,0,1
4,5,0,5
3,3,0,3
1,2,0,2
1,1,0,1
1,1,0,1
2,4,0,4
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
4,5,0,5
1,1,0,1
4,4,0,4
4,5,0,5
1,1,0,1
3,3,0,3
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
2,2,0,2
1,1,0,1
2,2,0,2
2,3,0,3
1,1,0,1
3,4,0,4
1,1,0,1
1,1,0,1
1,1,0,1
5,9,1,9
6,8,0,8
1,1,0,1
1,1,0,1
1,1,0,1
4,5,0,5
1,1,0,1
1,1,0,1
1,1,0,1
6,13,1,13
4,5,0,5
5,5,0,5
3,5,0,5
3,3,0,3
7,10,1,10
4,9,1,9
3,3,0,3
6,9,1,9
4,6,0,6
1,2,0,2
2,2,0,2
1,3,0,3
2,2,0,2
1,1,0,1
2,2,0,2
1,1,0,1
1,1,0,1
2,2,0,2
1,1,0,1
1,1,0,1
1,1,0,1
5,11,1,11
5,8,0,8
5,6,0,6
2,3,0,3
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
6,15,1,15
2,2,0,2
1,1,0,1
3,3,0,3
4,7,0,7
9,11,1,11
1,1,0,1
5,7,0,7
8,14,1,14
6,6,0,6
5,7,0,7
4,5,0,5
4,4,0,4
2,2,0,2
1,1,0,1
2,2,0,2
1,1,0,1
2,4,0,4
6,10,1,10
3,3,0,3
1,1,0,1
1,1,0,1
1,1,0,1
3,5,0,5
5,5,0,5
4,5,0,5
5,7,0,7
4,6,0,6
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
9,13,1,13
2,2,0,2
4,5,0,5
3,3,0,3
1,1,0,1
4,4,0,4
1,1,0,1
3,3,0,3
3,3,0,3
11,15,1,15
3,3,0,3
5,8,0,8
1,1,0,1
1,1,0,1
3,3,0,3
1,1,0,1
1,1,0,1
1,1,0,1
2,3,0,3
3,4,0,4
3,3,0,3
1,1,0,1
2,2,0,2
1,1,0,1
1,2,0,2
2,2,0,2
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
4,6,0,6
2,2,0,2
1,1,0,1
1,1,0,1
1,1,0,1
8,9,1,9
2,2,0,2
2,7,0,7
1,1,0,1
4,6,0,6
1,1,0,1
1,1,0,1
4,6,0,6
4,4,0,4
3,4,0,4
1,1,0,1
4,7,0,7
2,2,0,2
2,3,0,3
6,7,0,7
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
4,5,0,5
1,1,0,1
1,1,0,1
3,7,0,7
1,1,0,1
1,1,0,1
1,1,0,1
2,2,0,2
1,1,0,1
3,3,0,3
2,3,0,3
2,2,0,2
1,1,0,1
4,4,0,4
1,1,0,1
1,1,0,1
7,7,0,7
1,1,0,1
1,1,0,1
4,5,0,5
11,21,1,21
4,7,0,7
3,4,0,4
1,1,0,1
3,4,0,4
2,2,0,2
7,7,0,7
1,1,0,1
1,1,0,1
3,3,0,3
3,3,0,3
3,5,0,5
3,3,0,3
5,6,0,6
2,2,0,2
4,10,1,10
1,2,0,2
1,1,0,1
2,2,0,2
1,1,0,1
1,1,0,1
2,2,0,2
1,1,0,1
1,1,0,1
1,1,0,1
2,2,0,2
1,1,0,1
4,4,0,4
2,2,0,2
7,14,1,14
1,1,0,1
3,3,0,3
3,4,0,4
1,1,0,1
1,1,0,1
2,2,0,2
2,2,0,2
1,1,0,1
2,4,0,4
5,8,0,8
3,3,0,3
1,1,0,1
4,4,0,4
5,5,0,5
1,1,0,1
3,3,0,3
9,12,1,12
6,6,0,6
6,9,1,9
5,10,1,10
2,2,0,2
4,5,0,5
5,10,1,10
1,2,0,2
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
2,2,0,2
6,7,0,7
4,4,0,4
1,1,0,1
2,2,0,2
1,1,0,1
8,10,1,10
3,3,0,3
5,6,0,6
4,7,0,7
1,1,0,1
2,2,0,2
7,7,0,7
3,6,0,6
4,5,0,5
5,6,0,6
4,5,0,5
1,1,0,1
2,2,0,2
5,8,0,8
4,5,0,5
1,1,0,1
1,1,0,1
1,1,0,1
4,4,0,4
1,1,0,1
1,1,0,1
1,1,0,1
2,2,0,2
7,14,1,14
4,5,0,5
4,11,1,11
4,4,0,4
4,4,0,4
6,6,0,6
6,11,1,11
4,7,0,7
4,5,0,5
1,1,0,1
7,9,1,9
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
3,3,0,3
3,3,0,3
1,1,0,1
4,6,0,6
1,1,0,1
4,4,0,4
2,2,0,2
3,3,0,3
6,6,0,6
5,5,0,5
3,4,0,4
3,3,0,3
1,1,0,1
6,6,0,6
4,5,0,5
2,2,0,2
1,1,0,1
2,3,0,3
5,6,0,6
1,1,0,1
6,12,1,12
3,3,0,3
4,5,0,5
3,3,0,3
3,3,0,3
5,8,0,8
6,7,0,7
1,1,0,1
1,2,0,2
1,1,0,1
4,9,1,9
2,2,0,2
13,20,1,20
5,8,0,8
3,3,0,3
1,1,0,1
2,2,0,2
2,2,0,2
6,10,1,10
1,1,0,1
4,10,1,10
5,8,0,8
1,1,0,1
1,1,0,1
1,1,0,1
2,3,0,3
2,2,0,2
3,3,0,3
3,6,0,6
2,2,0,2
3,3,0,3
1,1,0,1
2,3,0,3
1,1,0,1
3,3,0,3
3,3,0,3
1,1,0,1
5,7,0,7
3,3,0,3
2,2,0,2
3,7,0,7
1,1,0,1
1,1,0,1
3,4,0,4
1,1,0,1
4,6,0,6
1,1,0,1
5,7,0,7
1,1,0,1
1,1,0,1
1,1,0,1
3,4,0,4
1,1,0,1
1,1,0,1
4,4,0,4
8,12,1,12
1,1,0,1
2,2,0,2
1,1,0,1
1,1,0,1
3,4,0,4
4,4,0,4
6,7,0,7
1,1,0,1
1,1,0,1
1,1,0,1
4,7,0,7
1,1,0,1
5,9,1,9
8,17,1,17
2,2,0,2
1,1,0,1
2,2,0,2
1,1,0,1
1,1,0,1
5,5,0,5
5,7,0,7
1,1,0,1
6,6,0,6
2,2,0,2
1,1,0,1
2,2,0,2
3,3,0,3
1,1,0,1
2,5,0,5
7,12,1,12
1,1,0,1
3,4,0,4
1,1,0,1
4,4,0,4
4,4,0,4
5,7,0,7
1,1,0,1
5,7,0,7
1,1,0,1
1,1,0,1
2,2,0,2
1,1,0,1
4,4,0,4
3,4,0,4
1,1,0,1
7,11,1,11
3,3,0,3
5,5,0,5
5,7,0,7
1,1,0,1
2,2,0,2
1,1,0,1
1,1,0,1
1,1,0,1
5,8,0,8
1,1,0,1
3,3,0,3
4,4,0,4
2,4,0,4
2,2,0,2
5,6,0,6
6,8,0,8
6,7,0,7
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
3,3,0,3
2,2,0,2
3,3,0,3
2,3,0,3
1,1,0,1
1,1,0,1
1,1,0,1
2,2,0,2
6,7,0,7
2,5,0,5
2,2,0,2
2,2,0,2
2,3,0,3
3,3,0,3
1,2,0,2
1,1,0,1
6,10,1,10
1,1,0,1
1,1,0,1
4,5,0,5
1,1,0,1
2,2,0,2
1,1,0,1
3,3,0,3
3,4,0,4
9,9,1,9
1,1,0,1
4,5,0,5
5,6,0,6
1,1,0,1
1,2,0,2
1,1,0,1
1,1,0,1
5,6,0,6
1,1,0,1
1,1,0,1
3,3,0,3
1,1,0,1
1,2,0,2
4,6,0,6
6,6,0,6
1,1,0,1
1,1,0,1
2,2,0,2
1,1,0,1
7,8,0,8
1,1,0,1
1,1,0,1
2,2,0,2
1,1,0,1
1,1,0,1
1,1,0,1
5,6,0,6
1,1,0,1
1,2,0,2
2,2,0,2
1,1,0,1
1,1,0,1
1,1,0,1
5,11,1,11
4,9,1,9
6,6,0,6
1,1,0,1
2,2,0,2
1,1,0,1
2,2,0,2
1,1,0,1
1,1,0,1
2,2,0,2
4,5,0,5
1,1,0,1
1,1,0,1
1,1,0,1
4,4,0,4
1,1,0,1
2,3,0,3
1,1,0,1
2,3,0,3
1,1,0,1
2,2,0,2
5,9,1,9
2,2,0,2
1,1,0,1
1,1,0,1
10,12,1,12
1,1,0,1
2,3,0,3
3,3,0,3
2,2,0,2
1,1,0,1
4,4,0,4
7,9,1,9
2,3,0,3
1,1,0,1
1,1,0,1
2,2,0,2
1,1,0,1
2,2,0,2
10,18,1,18
1,1,0,1
1,1,0,1
5,5,0,5
8,10,1,10
3,4,0,4
3,3,0,3
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
3,3,0,3
1,1,0,1
1,1,0,1
1,1,0,1
3,3,0,3
4,5,0,5
3,3,0,3
1,1,0,1
1,1,0,1
2,3,0,3
3,4,0,4
4,7,0,7
3,5,0,5
1,1,0,1
3,4,0,4
4,4,0,4
2,2,0,2
2,2,0,2
5,7,0,7
4,4,0,4
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
3,3,0,3
1,1,0,1
2,5,0,5
4,5,0,5
2,3,0,3
2,2,0,2
5,7,0,7
6,9,1,9
4,6,0,6
6,7,0,7
3,5,0,5
2,2,0,2
1,1,0,1
5,5,0,5
1,1,0,1
2,2,0,2
1,1,0,1
1,1,0,1
2,2,0,2
2,2,0,2
2,3,0,3
1,1,0,1
4,5,0,5
1,1,0,1
4,4,0,4
1,1,0,1
1,1,0,1
5,5,0,5
1,1,0,1
1,1,0,1
4,4,0,4
1,1,0,1
3,4,0,4
2,2,0,2
1,1,0,1
2,2,0,2
1,1,0,1
6,8,0,8
1,1,0,1
1,1,0,1
5,9,1,9
1,1,0,1
2,4,0,4
1,1,0,1
2,3,0,3
5,7,0,7
1,1,0,1
7,7,0,7
3,3,0,3
3,6,0,6
1,1,0,1
2,2,0,2
1,1,0,1
2,2,0,2
2,2,0,2
4,4,0,4
2,2,0,2
2,2,0,2
1,1,0,1
11,15,1,15
1,1,0,1
5,7,0,7
4,4,0,4
4,4,0,4
3,4,0,4
2,2,0,2
1,1,0,1
1,1,0,1
3,3,0,3
3,4,0,4
2,2,0,2
2,2,0,2
4,4,0,4
1,1,0,1
1,1,0,1
7,9,1,9
1,1,0,1
1,1,0,1
1,1,0,1
2,2,0,2
11,11,1,11
2,2,0,2
5,6,0,6
2,2,0,2
2,2,0,2
9,13,1,13
3,4,0,4
1,1,0,1
2,2,0,2
5,6,0,6
4,4,0,4
1,1,0,1
3,3,0,3
6,7,0,7
14,17,1,17
1,1,0,1
9,11,1,11
5,5,0,5
1,1,0,1
1,1,0,1
1,1,0,1
4,5,0,5
1,1,0,1
8,8,0,8
2,2,0,2
1,1,0,1
1,1,0,1
2,2,0,2
3,3,0,3
1,1,0,1
8,8,0,8
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
2,2,0,2
4,4,0,4
1,1,0,1
2,3,0,3
1,1,0,1
2,4,0,4
1,4,0,4
4,4,0,4
7,14,1,14
1,1,0,1
1,1,0,1
1,1,0,1
2,2,0,2
1,1,0,1
4,5,0,5
4,4,0,4
5,5,0,5
1,1,0,1
1,1,0,1
2,2,0,2
6,8,0,8
5,5,0,5
1,1,0,1
1,1,0,1
1,1,0,1
3,4,0,4
3,3,0,3
1,1,0,1
4,5,0,5
1,1,0,1
3,4,0,4
1,1,0,1
1,1,0,1
1,1,0,1
4,5,0,5
1,1,0,1
1,1,0,1
3,3,0,3
1,1,0,1
1,1,0,1
2,2,0,2
14,23,1,23
4,5,0,5
1,1,0,1
2,2,0,2
1,1,0,1
1,1,0,1
4,5,0,5
4,4,0,4
1,1,0,1
3,5,0,5
1,1,0,1
4,4,0,4
2,2,0,2
6,6,0,6
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
3,4,0,4
1,1,0,1
3,3,0,3
2,4,0,4
5,8,0,8
3,3,0,3
1,1,0,1
4,8,0,8
1,1,0,1
6,7,0,7
3,3,0,3
3,3,0,3
2,2,0,2
5,5,0,5
1,1,0,1
3,3,0,3
1,1,0,1
2,3,0,3
4,4,0,4
1,1,0,1
1,1,0,1
5,6,0,6
1,1,0,1
2,3,0,3
3,4,0,4
3,2,0,3
2,2,0,2
5,6,0,7
1,1,0,1
2,2,0,2
3,4,0,4
4,4,0,4
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
2,5,0,5
1,1,0,1
2,2,0,2
3,4,0,5
1,1,0,1
3,3,0,3
1,1,0,1
7,9,1,9
6,8,0,8
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
5,5,0,5
1,1,0,1
1,1,0,1
12,18,1,18
1,1,0,1
6,12,1,12
5,8,0,8
1,1,0,1
2,4,0,4
10,14,1,14
4,4,0,4
5,12,1,12
7,8,0,8
1,2,0,2
5,8,0,8
2,2,0,2
1,1,0,1
2,2,0,2
1,1,0,1
3,3,0,3
6,9,1,9
1,1,0,1
3,6,0,6
7,12,1,12
5,6,0,6
1,2,0,3
3,3,0,3
5,7,0,7
1,1,0,1
10,16,1,16
1,1,0,1
3,3,0,3
1,1,0,1
3,7,0,7
6,8,0,8
5,5,0,5
1,1,0,1
4,5,0,5
1,1,0,1
3,3,0,3
8,16,1,16
10,14,1,14
1,1,0,1
2,3,0,3
1,1,0,1
8,17,1,17
1,1,0,1
4,5,0,5
7,6,0,7
7,10,1,10
1,2,0,2
7,11,1,11
1,1,0,1
1,1,0,1
1,1,0,1
2,2,0,2
7,12,1,12
1,1,0,1
4,7,0,7
4,4,0,4
14,18,1,18
1,1,0,1
1,1,0,1
4,9,1,9
6,7,0,7
2,3,0,3
1,1,0,1
1,1,0,1
1,1,0,1
5,7,0,7
2,2,0,2
4,5,0,5
1,1,0,1
6,7,0,7
1,1,0,1
5,5,0,5
1,1,0,1
1,1,0,1
2,2,0,2
4,5,0,5
1,1,0,1
3,3,0,3
1,1,0,1
3,3,0,3
1,1,0,1
6,6,0,6
1,1,0,1
2,2,0,2
3,3,0,3
5,5,0,5
1,1,0,1
1,1,0,1
1,1,0,1
3,4,0,4
5,5,0,5
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
2,2,0,2
3,4,0,4
6,7,0,7
5,7,0,7
3,4,0,4
1,1,0,1
2,2,0,2
8,9,1,9
1,1,0,1
4,5,0,5
1,1,0,1
1,1,0,1
1,1,0,1
2,2,0,2
1,1,0,1
1,1,0,1
2,3,0,3
1,2,0,2
1,1,0,1
2,2,0,2
2,3,0,3
6,9,1,9
2,2,0,2
1,1,0,1
2,2,0,2
1,2,0,2
4,4,0,4
1,1,0,1
1,1,0,1
6,6,0,6
2,3,0,3
1,1,0,1
4,5,0,5
1,1,0,1
1,1,0,1
2,4,0,4
5,6,0,6
4,5,0,5
2,2,0,2
1,1,0,1
2,2,0,2
2,2,0,2
1,1,0,1
2,3,0,3
4,6,0,6
1,1,0,1
1,1,0,1
1,1,0,1
1,2,0,2
1,1,0,1
1,1,0,1
1,1,0,1
3,5,0,5
1,1,0,1
1,1,0,1
1,2,0,2
1,1,0,1
1,1,0,1
1,1,0,1
4,4,0,4
1,1,0,1
1,1,0,1
6,6,0,6
2,3,0,3
1,1,0,1
8,12,1,12
1,1,0,1
1,1,0,1
5,7,0,8
2,2,0,2
1,1,0,1
1,1,0,1
1,2,0,2
1,1,0,1
2,2,0,2
1,1,0,1
3,3,0,3
2,2,0,2
1,1,0,1
2,2,0,2
7,8,0,8
1,1,0,1
1,1,0,1
1,1,0,1
3,4,0,4
1,1,0,1
1,1,0,1
5,6,0,6
1,1,0,1
1,1,0,1
2,3,0,3
4,7,0,7
8,9,1,9
1,1,0,1
1,2,0,2
2,2,0,2
6,6,0,6
5,9,1,9
1,1,0,1
3,4,0,4
1,1,0,1
1,1,0,1
9,13,1,13
1,1,0,1
4,4,0,4
7,8,0,8
4,5,0,5
3,3,0,3
4,9,1,9
5,5,0,5
5,5,0,5
1,1,0,1
1,1,0,1
3,3,0,3
2,2,0,2
1,1,0,1
4,4,0,4
3,3,0,3
2,2,0,2
1,1,0,1
1,1,0,1
3,4,0,4
2,2,0,2
3,4,0,4
1,1,0,1
1,1,0,1
1,1,0,1
4,5,0,5
1,1,0,1
1,1,0,1
2,2,0,2
1,1,0,1
8,9,1,9
10,14,1,14
1,1,0,1
1,1,0,1
3,3,0,3
4,5,0,5
1,1,0,1
1,1,0,1
2,2,0,2
1,1,0,1
1,1,0,1
6,6,0,6
5,7,0,7
1,1,0,1
4,5,0,5
1,1,0,1
5,7,0,7
1,1,0,1
5,6,0,6
1,1,0,1
3,4,0,4
5,6,0,6
1,1,0,1
3,3,0,3
2,2,0,2
1,1,0,1
1,1,0,1
7,12,1,12
2,2,0,2
1,1,0,1
5,11,1,11
2,3,0,3
1,1,0,1
6,6,0,6
1,2,0,2
1,1,0,1
6,7,0,7
6,6,0,6
4,4,0,4
2,2,0,2
5,6,0,6
1,1,0,1
1,1,0,1
4,4,0,4
1,1,0,1
2,2,0,2
1,1,0,1
1,1,0,1
5,7,0,7
1,1,0,1
3,4,0,4
3,3,0,3
6,12,1,12
4,4,0,4
1,1,0,1
1,1,0,1
1,1,0,1
2,2,0,2
1,1,0,1
2,2,0,2
3,3,0,3
1,1,0,1
1,1,0,1
9,11,1,11
1,1,0,1
1,1,0,1
1,1,0,1
5,5,0,5
1,1,0,1
6,6,0,6
1,1,0,1
1,1,0,1
6,10,1,10
4,4,0,4
1,1,0,1
3,4,0,4
3,3,0,3
3,4,0,4
1,1,0,1
11,13,1,13
1,1,0,1
8,10,1,10
2,2,0,2
1,1,0,1
9,10,1,10
1,1,0,1
2,2,0,2
2,2,0,2
2,2,0,2
1,1,0,1
1,1,0,1
5,5,0,5
2,2,0,2
1,1,0,1
1,1,0,1
2,3,0,3
2,3,0,3
1,1,0,1
5,7,0,7
1,1,0,1
4,5,0,5
7,11,1,11
5,7,0,7
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
9,15,1,15
6,7,0,7
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
9,10,1,10
1,1,0,1
1,1,0,1
11,11,1,11
2,2,0,2
1,1,0,1
1,1,0,1
1,1,0,1
3,3,0,3
1,1,0,1
9,10,1,10
2,2,0,2
1,1,0,1
1,1,0,1
2,2,0,2
2,2,0,2
3,3,0,3
8,10,1,10
1,1,0,1
3,3,0,3
3,3,0,3
6,11,1,11
1,1,0,1
1,1,0,1
1,1,0,1
10,12,1,12
1,1,0,1
1,1,0,1
1,1,0,1
12,13,1,13
1,1,0,1
1,1,0,1
6,8,0,8
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
2,2,0,2
6,11,1,11
1,1,0,1
1,1,0,1
3,3,0,3
1,1,0,1
6,8,0,8
1,1,0,1
1,1,0,1
3,4,0,4
6,6,0,6
4,4,0,4
6,6,0,6
1,1,0,1
2,2,0,2
2,2,0,2
3,3,0,3
1,1,0,1
1,2,0,2
4,6,0,6
3,4,0,4
3,3,0,3
6,7,0,7
1,1,0,1
2,3,0,3
2,3,0,3
2,2,0,2
1,1,0,1
5,5,0,5
1,1,0,1
2,2,0,2
1,1,0,1
4,6,0,6
4,5,0,5
3,3,0,3
2,3,0,3
1,1,0,1
3,4,0,5
2,2,0,2
1,1,0,1
1,1,0,1
1,1,0,1
3,4,0,4
1,1,0,1
5,5,0,5
1,2,0,2
4,5,0,5
5,6,0,6
8,15,1,15
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
5,5,0,5
1,2,0,2
1,1,0,1
1,1,0,1
5,5,0,5
1,2,0,2
2,2,0,2
1,1,0,1
1,1,0,1
6,7,0,7
6,7,0,7
1,1,0,1
1,1,0,1
3,3,0,3
3,6,0,6
1,1,0,1
4,5,0,5
2,3,0,3
3,3,0,3
2,2,0,2
5,6,0,6
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
3,4,0,4
1,1,0,1
1,2,0,2
1,1,0,1
2,2,0,2
3,3,0,3
6,12,1,12
1,1,0,1
4,6,0,6
5,8,0,8
4,4,0,4
1,1,0,1
1,1,0,1
4,7,0,7
1,1,0,1
5,5,0,5
3,3,0,3
1,1,0,1
1,1,0,1
6,7,0,7
3,3,0,3
1,1,0,1
5,6,0,6
7,9,1,10
5,6,0,6
2,2,0,2
3,3,0,3
3,4,0,4
3,5,0,5
3,3,0,3
4,5,0,5
6,8,0,8
1,1,0,1
3,3,0,3
2,3,0,3
3,4,0,4
1,1,0,1
1,1,0,1
3,4,0,4
9,13,1,13
1,2,0,2
1,1,0,1
1,1,0,1
5,7,0,7
8,9,1,9
3,4,0,4
4,5,0,5
1,1,0,1
6,7,0,8
1,1,0,1
7,9,1,9
1,1,0,1
1,1,0,1
2,2,0,2
3,3,0,3
3,5,0,5
2,2,0,2
3,3,0,3
5,11,1,11
1,1,0,1
5,6,0,6
2,3,0,3
4,4,0,4
3,3,0,3
7,11,1,11
3,3,0,3
5,5,0,5
1,1,0,1
2,2,0,2
1,1,0,1
1,1,0,1
2,2,0,2
3,4,0,4
1,1,0,1
2,4,0,4
1,1,0,1
7,10,1,10
1,1,0,1
1,1,0,1
1,2,0,2
5,5,0,5
4,7,0,7
1,1,0,1
2,3,0,3
2,2,0,2
1,1,0,1
4,8,0,8
1,1,0,1
3,3,0,3
1,1,0,1
6,6,0,6
1,1,0,1
3,5,0,6
1,1,0,1
2,2,0,2
1,1,0,1
3,3,0,3
2,3,0,3
1,1,0,1
1,1,0,1
3,3,0,3
5,4,0,5
7,11,1,11
2,2,0,2
7,8,0,8
1,1,0,1
2,2,0,2
1,1,0,1
1,1,0,1
3,5,0,5
3,4,0,4
5,7,0,7
3,5,0,5
1,1,0,1
2,2,0,2
1,1,0,1
2,2,0,2
2,2,0,2
4,6,0,6
1,1,0,1
3,4,0,4
3,4,0,4
1,1,0,1
6,12,1,12
4,4,0,4
6,9,1,9
5,5,0,5
4,4,0,4
2,2,0,2
2,5,0,5
1,1,0,1
1,1,0,1
2,2,0,2
1,1,0,1
1,1,0,1
6,7,0,7
8,11,1,11
4,7,0,7
2,2,0,2
3,4,0,4
1,1,0,1
1,1,0,1
4,4,0,4
6,9,1,9
7,7,0,8
1,1,0,1
1,1,0,1
3,4,0,4
2,2,0,2
1,1,0,1
5,5,0,5
7,7,0,7
3,3,0,3
1,1,0,1
1,1,0,1
7,13,1,13
4,5,0,5
2,2,0,2
10,14,1,14
3,7,0,7
1,2,0,2
1,1,0,1
7,8,0,8
6,6,0,6
6,12,1,12
1,1,0,1
1,1,0,1
10,13,1,14
1,1,0,1
3,3,0,3
2,2,0,2
1,1,0,1
2,2,0,2
1,1,0,1
3,3,0,3
1,1,0,1
1,2,0,2
4,3,0,4
4,5,0,5
2,2,0,2
4,5,0,5
4,5,0,5
2,2,0,2
4,4,0,4
3,3,0,3
2,2,0,2
6,6,0,6
5,8,0,8
3,4,0,4
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
11,24,1,24
5,7,0,7
1,1,0,1
1,1,0,1
2,2,0,2
1,1,0,1
1,1,0,1
2,2,0,2
1,1,0,1
4,5,0,5
1,1,0,1
2,2,0,2
6,7,0,7
4,5,0,5
3,3,0,3
5,5,0,5
8,9,1,9
1,1,0,1
1,1,0,1
4,7,0,7
1,1,0,2
2,3,0,3
2,2,0,2
1,1,0,1
1,1,0,1
3,3,0,3
3,4,0,4
1,1,0,1
10,10,1,10
1,1,0,1
4,4,0,4
3,6,0,6
5,12,1,12
1,1,0,1
1,1,0,1
1,1,0,1
3,3,0,3
1,1,0,1
1,1,0,1
1,1,0,1
8,10,1,10
1,1,0,1
4,4,0,4
3,4,0,4
7,8,0,8
2,2,0,2
1,1,0,1
1,1,0,1
1,1,0,1
2,2,0,2
2,2,0,2
6,7,0,7
1,1,0,1
1,1,0,1
7,7,0,7
2,3,0,3
4,6,0,6
7,15,1,16
1,1,0,1
3,3,0,3
1,1,0,1
1,1,0,1
4,6,0,6
1,1,0,1
1,1,0,1
1,1,0,1
3,3,0,3
4,4,0,4
1,1,0,1
6,8,0,8
3,3,0,3
2,3,0,3
1,1,0,1
5,6,0,6
1,1,0,1
2,3,0,3
1,1,0,1
4,4,0,4
2,3,0,3
3,3,0,3
1,1,0,1
6,7,0,7
2,2,0,2
6,8,0,8
6,7,0,7
2,3,0,3
1,1,0,1
4,6,0,6
2,2,0,2
2,2,0,2
8,9,1,9
3,3,0,3
8,14,1,14
1,1,0,1
4,4,0,4
6,10,1,10
2,2,0,2
5,5,0,5
2,2,0,2
2,2,0,2
1,1,0,1
1,1,0,1
1,1,0,1
1,2,0,2
1,1,0,1
1,1,0,1
2,4,0,4
1,1,0,1
7,10,1,10
4,8,0,8
1,1,0,1
1,1,0,1
2,2,0,2
1,1,0,1
4,4,0,4
3,3,0,3
2,2,0,2
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
10,11,1,11
1,3,0,3
1,1,0,1
4,4,0,4
4,4,0,4
8,12,1,12
5,7,0,7
1,1,0,1
4,5,0,5
1,1,0,1
1,1,0,1
1,1,0,1
11,16,1,18
2,2,0,2
10,14,1,14
1,1,0,1
3,3,0,3
3,3,0,3
1,1,0,1
1,1,0,1
1,1,0,1
1,2,0,2
1,1,0,1
4,8,0,8
2,2,0,2
1,1,0,1
2,2,0,2
2,2,0,2
1,1,0,1
2,2,0,2
3,3,0,3
1,1,0,1
